Set,Code,Release Date,Number in the set,Card Name,Rarity,Text,Mana Cost,Type,Power,Toughness,CMC,Artist,Standard
Unstable,UST,12/8/2017,179,Dual Doomsuits,Rare,"Whenever you crank Dual Doomsuits, each time a source you control would deal damage this turn, it deals double that damage instead.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,180,Duplication Device,Rare,"Whenever you crank Duplication Device, until end of turn, target creature becomes a copy of any creature on the battlefield, except it's an artifact in addition to its other types.",,Artifact,,,0,Jason Felix,No
Unstable,UST,12/8/2017,181,Faerie Aerie,Mythic Rare,"Whenever you crank Faerie Aerie, create two 1/1 blue Faerie Spy creature tokens with flying, haste, and ""Whenever this creature deals combat damage to a player, draw a card."" Exile them at the beginning of the next end step.",,Artifact,,,0,Ralph Horsley,No
Unstable,UST,12/8/2017,182,Genetic Recombinator,Uncommon,"Whenever you crank Genetic Recombinator, up to two target creatures each get +2/+2 until end of turn.",,Artifact,,,0,Chuck Lukacs,No
Unstable,UST,12/8/2017,183,Gift Horse,Rare,"Whenever you crank Gift Horse, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,184,Gnomeball Machine,Uncommon,"Whenever you crank Gnomeball Machine, create two 1/1 colorless Gnome artifact creature tokens.",,Artifact,,,0,Jason Felix,No
Unstable,UST,12/8/2017,185,Goblin Slingshot,Rare,"Whenever you crank Goblin Slingshot, creatures you control get +2/+0 and gain trample until end of turn.",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,186,Guest List,Rare,"Whenever you crank Guest List, target creature gets -X/-X until end of turn, where X is the number of creature cards in its controller's graveyard.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,187,Hard Hat Area,Mythic Rare,"Whenever you crank Hard Hat Area, roll two six-sided dice. Hard Hat Area assembles a number of Contraptions equal to the difference between those results. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,188,Head Banger,Common,"Whenever you crank Head Banger, target creature must be blocked this turn if able.",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,189,Hypnotic Swirly Disc,Rare,"Whenever you crank Hypnotic Swirly Disc, target player puts the top X cards of his or her library into his or her graveyard, where X is the number of creatures you control.",,Artifact,,,0,Ralph Horsley,No
Unstable,UST,12/8/2017,190,Inflation Station,Common,"Whenever you crank Inflation Station, target creature gets +3/+3 until end of turn.",,Artifact,,,0,Chuck Lukacs,No
Unstable,UST,12/8/2017,191,Insufferable Syphon,Uncommon,"Whenever you crank Insufferable Syphon, target player discards a card.",,Artifact,,,0,Ralph Horsley,No
Unstable,UST,12/8/2017,192,Jamming Device,Uncommon,"Whenever you crank Jamming Device, creatures target player controls get -1/-1 until end of turn.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,193,Lackey Recycler,Common,"Whenever you crank Lackey Recycler, put target creature card from your graveyard on top of your library.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,194,Mandatory Friendship Shackles,Common,"Whenever you crank Mandatory Friendship Shackles, target creature gets -1/-1 until end of turn.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,195,Neural Network,Uncommon,"Whenever you crank Neural Network, gain control of target creature an opponent controls with power less than or equal to the number of creature cards in its controller's graveyard until end of turn. Untap that creature. It gains haste until end of turn.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,196,Oaken Power Suit,Rare,"Whenever you crank Oaken Power Suit, target creature gets +X/+X until end of turn, where X is the greatest power among creatures you control.",,Artifact,,,0,Chuck Lukacs,No
Unstable,UST,12/8/2017,197,Optical Optimizer,Uncommon,"Whenever you crank Optical Optimizer, until end of turn, target creature becomes an artifact in addition to its other types and gains ""{T}: Draw a card.""",,Artifact,,,0,Jason Felix,No
Unstable,UST,12/8/2017,198,Pet Project,Mythic Rare,"Whenever you crank Pet Project, put target creature card from an opponent's graveyard onto the battlefield under your control.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,199,Quick-Stick Lick Trick,Common,"Whenever you crank Quick-Stick Lick Trick, target creature gets +1/+1 and gains lifelink until end of turn.",,Artifact,,,0,Chuck Lukacs,No
Unstable,UST,12/8/2017,200,Rapid Prototyper,Mythic Rare,"Whenever you crank Rapid Prototyper, create an X/X colorless Construct artifact creature token, where X is the number of artifacts you control.",,Artifact,,,0,Jason Felix,No
Unstable,UST,12/8/2017,201,Record Store,Rare,"Whenever you crank Record Store, look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest on the bottom of your library in a random order.",,Artifact,,,0,Jason Felix,No
Unstable,UST,12/8/2017,202,Refibrillator,Rare,"Whenever you crank Refibrillator, return target creature card from your graveyard to your hand.",,Artifact,,,0,Chuck Lukacs,No
Unstable,UST,12/8/2017,203,Sap Sucker,Common,"Whenever you crank Sap Sucker, add {G} to your mana pool. Until end of turn, this mana doesn't empty from your mana pool as steps and phases end.",,Artifact,,,0,Chuck Lukacs,No
Unstable,UST,12/8/2017,204,Sundering Fork,Uncommon,"Whenever you crank Sundering Fork, destroy target artifact.",,Artifact,,,0,Franz Vohwinkel,No
Unstable,UST,12/8/2017,205,Targeting Rocket,Uncommon,"Whenever you crank Targeting Rocket, target creature blocks this turn if able.",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,206,Thud-for-Duds,Uncommon,"Whenever you crank Thud-for-Duds, roll two six-sided dice. Thud-for-Duds deals damage to target creature equal to the difference between those results.",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,207,Top-Secret Tunnel,Common,"Whenever you crank Top-Secret Tunnel, target creature can't be blocked this turn.",,Artifact,,,0,Ralph Horsley,No
Unstable,UST,12/8/2017,208,Tread Mill,Common,"Whenever you crank Tread Mill, until end of turn, target creature gets +1/+2, gains vigilance, and becomes an artifact in addition to its other types.",,Artifact,,,0,Jason Felix,No
Unstable,UST,12/8/2017,209,Turbo-Thwacking Auto-Hammer,Uncommon,"Whenever you crank Turbo-Thwacking Auto-Hammer, target creature gains double strike until end of turn.",,Artifact,,,0,Steve Prescott,No
Unstable,UST,12/8/2017,210,Twiddlestick Charger,Common,"Whenever you crank Twiddlestick Charger, tap or untap target creature.",,Artifact,,,0,Ralph Horsley,No
Unstable,UST,12/8/2017,211,Widget Contraption,Uncommon,"Whenever you crank Widget Contraption, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",,Artifact,,,0,Jason Felix,No
Unhinged,UNH,11/20/2004,1,Atinlay Igpay,Uncommon,"Oubleday ikestray
Eneverwhay ouyay eaksspay ay onnay-igpay-atinlay ordway, acrificesay Atinlay Igpay.",{5}{W},Eaturecray,,,6,Evkay Alkerway,No
Unhinged,UNH,11/20/2004,2,AWOL,Common,Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.,{2}{W},Instant,,,3,Stephen Tappin,No
Unhinged,UNH,11/20/2004,3,Bosom Buddy,Uncommon,"Whenever you cast a spell, you may gain ½ life for each word in that spell's name.",{3}{W},Creature,1,4,4,Dan Scott,No
Unhinged,UNH,11/20/2004,4,Cardpecker,Common,"Flying
Gotcha — If an opponent touches the table with his or her hand, you may say ""Gotcha"" When you do, return Cardpecker from your graveyard to your hand.",{1}{W},Creature,1½,1,2,Richard Sardinha,No
Unhinged,UNH,11/20/2004,5,Cheap Ass,Common,Spells you play cost {½} less to play.,{1}{W},Creature,1,3½,2,Randy Gallegos,No
Unhinged,UNH,11/20/2004,6,Circle of Protection: Art,Common,"As Circle of Protection: Art enters the battlefield, choose an artist.
{1}{W}: The next time a source of your choice with art by the chosen artist would deal damage to you this turn, prevent that damage.
{1}{W}: Return Circle of Protection: Art to its owner's hand.",{1}{W},Enchantment,,,2,Jim “Stop the Da Vinci Beatdown” Pavelec,No
Unhinged,UNH,11/20/2004,7,Collector Protector,Rare,"{W}, Give an opponent a nonland card you own from outside the game: Prevent the next 1 damage that would be dealt to you or Collector Protector this turn.",{3}{W}{W},Creature,2,5,5,Christopher Rush,No
Unhinged,UNH,11/20/2004,8,Drawn Together,Rare,"As Drawn Together enters the battlefield, choose an artist.
Creatures with art by the chosen artist get +2/+2.",{2}{W}{W},Enchantment,,,4,Pete “Fear Me” Venters,No
Unhinged,UNH,11/20/2004,9,Emcee,Uncommon,"Whenever another creature enters the battlefield, you may stand up and say in a deep, booming voice, ""Presenting . . . "" and that creature's name. If you do, put a +1/+1 counter on that creature.",{2}{W},Creature,0,1,3,Quinton Hoover,No
Unhinged,UNH,11/20/2004,10,Erase (Not the Urza's Legacy One),Common,"If you control two or more white permanents that share an artist, you may cast Erase (Not the Urza's Legacy One) without paying its mana cost.
Exile target enchantment.",{2}{W},Instant,,,3,Pete “Yes the Urza's Legacy One” Venters,No
Unhinged,UNH,11/20/2004,11,Fascist Art Director,Common,{W}{W}: Fascist Art Director gains protection from the artist of your choice until end of turn.,{1}{W}{W},Creature,2,2,3,"Edward P. “Feed Me” Beard, Jr.",No
Unhinged,UNH,11/20/2004,12,"First Come, First Served",Uncommon,Each attacking or blocking creature with the lowest collector number among attacking or blocking creatures has first strike.,{1}{W},Enchantment,,,2,Thomas Gianni,No
Unhinged,UNH,11/20/2004,13,Frankie Peanuts,Rare,"At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.",{2}{W}{W},Creature,2,3,4,Thomas M. Baxa,No
Unhinged,UNH,11/20/2004,14,Head to Head,Uncommon,"You and target opponent play Seven Questions with the top card of that player's library. If you win, prevent all damage that would be dealt this turn by a source of your choice. (To play Seven Questions, that player looks at the card, then you ask up to six yes-or-no questions about the card that his or she answers truthfully. You guess the card's name—that's question seven—then the player reveals the card.)",{W},Instant,,,1,Thomas Gianni,No
Unhinged,UNH,11/20/2004,15,Ladies' Knight,Uncommon,"Flying
Spells cast by players wearing at least one item of women's clothing cost {1} less to cast. (You can define women's clothing as you see fit. Be reasonable.)",{3}{W},Creature,2,2,4,Ron Spears,No
Unhinged,UNH,11/20/2004,16,Little Girl,Common,,{hw},Creature,½,½,0.5,Rebecca Guay,No
Unhinged,UNH,11/20/2004,17,"Look at Me, I'm R&D",Rare,"As Look at Me, I'm R&D enters the battlefield, choose a number and a second number one higher or one lower than the first number.
All instances of the first chosen number in the full text of each permanent, spell, and card in any zone are changed to the second chosen number.",{2}{W},Enchantment,,,3,spork;,No
Unhinged,UNH,11/20/2004,18,Man of Measure,Common,"As long as you're shorter than an opponent, Man of Measure gets +0/+1 and has first strike.
As long as you're taller than an opponent, Man of Measure gets +1/+0.",{1}{W}{W},Creature,2,2,3,"Edward P. Beard, Jr.",No
Unhinged,UNH,11/20/2004,19,Save Life,Uncommon,"Choose one —
• Target player gains 2½ life.
• Prevent the next 2½ damage that would be dealt to target creature this turn.
Gotcha — If an opponent says ""save"" or ""life,"" you may say ""Gotcha"" When you do, return Save Life from your graveyard to your hand.",{W},Instant,,,1,Ray Lago,No
Unhinged,UNH,11/20/2004,20,Standing Army,Common,"As long as you're standing, Standing Army has vigilance.",{2}{W}{W},Creature,2,4,4,Randy Gallegos,No
Unhinged,UNH,11/20/2004,21,Staying Power,Rare,"""Until end of turn"" and ""this turn"" effects don't end.",{2}{W},Enchantment,,,3,Richard Sardinha,No
Unhinged,UNH,11/20/2004,22,Wordmail,Common,"Enchant creature
Enchanted creature gets +1/+1 for each word in its name.",{W},Enchantment,,,1,Ron Spencer,No
Unhinged,UNH,11/20/2004,23,_____,Uncommon,"{1}: This card's name becomes the card name of your choice. Activate this ability anywhere, anytime.",{1}{U},Creature,1,1,2,Ron Spears,No
Unhinged,UNH,11/20/2004,24,Ambiguity,Rare,"Whenever a player plays a spell that counters a spell that has been played or a player plays a spell that comes into play with counters, that player may counter the next spell played or put an additional counter on a permanent that has already been played, but not countered.",{2}{U}{U},Enchantment,,,4,Stephen Daniele,No
Unhinged,UNH,11/20/2004,25,Artful Looter,Common,"{T}: Draw a card, then discard a card.
Whenever a permanent that shares an artist with another permanent you control enters the battlefield, untap Artful Looter.",{2}{U},Creature,1,2,3,Heather “Erica Gassalasca-Jape” Hudson,No
Unhinged,UNH,11/20/2004,26,Avatar of Me,Rare,"Avatar of Me costs {1} more to cast for each ten years you've been alive.
Avatar of Me's power is equal to your height in feet and its toughness is equal to your American shoe size. Round to the nearest ½.
Avatar of Me is the color of your eyes.",{2}{U}{U},Creature,*,*,4,Greg Hildebrandt,No
Unhinged,UNH,11/20/2004,27,Brushstroke Paintermage,Common,{T}: Target permanent's artist becomes the artist of your choice until end of turn.,{3}{U},Creature,2,3,4,Ron “Don't You Dare Change Me” Spears,No
Unhinged,UNH,11/20/2004,28,Bursting Beebles,Common,Bursting Beebles can't be blocked as long as defending player controls two or more nonland permanents that share an artist.,{2}{U},Creature,2,2,3,David “Beeblemania” Martin,No
Unhinged,UNH,11/20/2004,29,Carnivorous Death-Parrot,Common,"Flying
At the beginning of your upkeep, sacrifice Carnivorous Death-Parrot unless you say its flavor text.",{1}{U},Creature,2,2,2,Tim Hildebrandt,No
Unhinged,UNH,11/20/2004,30,Cheatyface,Uncommon,"If Cheatyface is in your hand, you may sneak Cheatyface onto the battlefield. If an opponent catches you right away, that player may exile Cheatyface.
Flying",{U}{U}{U},Creature,2,2,3,Doug Chaffee,No
Unhinged,UNH,11/20/2004,31,Double Header,Common,"Flying
When Double Header enters the battlefield, you may return target permanent with a two-word name to its owner's hand.",{3}{U}{U},Creature,2,3,5,Richard Sardinha,No
Unhinged,UNH,11/20/2004,32,Flaccify,Common,Counter target spell unless its controller pays {3}{½}.,{2}{U},Instant,,,3,Tim Hildebrandt,No
Unhinged,UNH,11/20/2004,33,Framed!,Common,Choose an artist. Tap all untapped permanents with art by that artist or untap all tapped permanents with art by that artist.,{1}{U},Instant,,,2,Alan “Don't Feel Like You Have to Pick Me” Pollack,No
Unhinged,UNH,11/20/2004,34,Greater Morphling,Rare,"{2}: Greater Morphling gains your choice of banding, bushido 1, double strike, fear, flying, first strike, haste, landwalk of your choice, protection from a color of your choice, provoke, rampage 1, shadow, or trample until end of turn.
{2}: Greater Morphling becomes the colors of your choice until end of turn.
{2}: Greater Morphling becomes the creature type of your choice until end of turn.
{2}: Greater Morphling's expansion symbol becomes the symbol of your choice until end of turn.
{2}: Greater Morphling's art becomes by the artist of your choice until end of turn.
{2}: Greater Morphling gets +2/-2 or -2/+2 until end of turn.
{2}: Untap Greater Morphling.",{6}{U}{U},Creature,5,5,8,Greg “Six-Pack” Staples,No
Unhinged,UNH,11/20/2004,35,"Johnny, Combo Player",Rare,"{4}: Search your library for a card, put that card into your hand, then shuffle your library.",{2}{U}{U},Creature,1,1,4,Kensuke Okabayashi,No
Unhinged,UNH,11/20/2004,36,Loose Lips,Common,"Enchant creature
As Loose Lips enters the battlefield, choose a sentence with eight or fewer words.
Enchanted creature has flying.
Whenever enchanted creature deals damage to an opponent, that player may say the chosen sentence. If he or she doesn't, you draw two cards.",{U},Enchantment,,,1,John Matson,No
Unhinged,UNH,11/20/2004,37,Magical Hacker,Uncommon,"{U}: Change the text of target spell or permanent by replacing all instances of + with -, and vice versa, until end of turn.",{1}{U},Creature,1,2,2,Doug Chaffee,No
Unhinged,UNH,11/20/2004,38,Mise,Uncommon,"Choose a nonland card name, then reveal the top card of your library. If that card has the chosen name, you draw three cards.",{U},Instant,,,1,Matt Cavotta,No
Unhinged,UNH,11/20/2004,39,Moniker Mage,Common,"{U}, Say your middle name: Moniker Mage gains shroud until end of turn.
{U}, Say an opponent's middle name: Moniker Mage gains flying until end of turn.",{2}{U},Creature,2,2,3,Keith Garletts,No
Unhinged,UNH,11/20/2004,40,Mouth to Mouth,Uncommon,"Choose target opponent and target creature that player controls. You and that player have a breath-holding contest. If you win, you gain control of that creature.",{3}{U},Sorcery,,,4,Alan Pollack,No
Unhinged,UNH,11/20/2004,41,Now I Know My ABC's,Rare,"At the beginning of your upkeep, if you control permanents with names that include all twenty-six letters of the English alphabet, you win the game.",{1}{U}{U},Enchantment,,,3,Tony Szczudlo,No
Unhinged,UNH,11/20/2004,42,Number Crunch,Common,"Return target permanent to its owner's hand.
Gotcha — If an opponent says a number, you may say ""Gotcha"" When you do, return Number Crunch from your graveyard to your hand.",{2}{U},Instant,,,3,Stephen Daniele,No
Unhinged,UNH,11/20/2004,43,Question Elemental?,Uncommon,"Did you know this creature has flying?
Are you aware that any time you say something that isn't a question, when a player points out this fact first, that player gains control of Question Elemental?",{2}{U}{U},Creature,3,4,4,"Edward P. Beard, Jr.",No
Unhinged,UNH,11/20/2004,44,"Richard Garfield, Ph.D.",Rare,You may play cards as though they were other Magic cards of your choice with the same mana cost. You can't choose the same card twice. (Mana cost includes color.),{3}{U}{U},Creature,2,2,5,Dave Dorman,No
Unhinged,UNH,11/20/2004,45,Smart Ass,Common,"Whenever Smart Ass attacks, choose a card name. If defending player has no cards with the chosen name in his or her hand, that player may reveal his or her hand. If he or she doesn't reveal his or her hand, Smart Ass can't be blocked this turn.",{2}{U},Creature,2½,1,3,Trevor Hairsine,No
Unhinged,UNH,11/20/2004,46,Spell Counter,Uncommon,"Counter target spell.
Gotcha — If an opponent says ""spell"" or ""counter,"" you may say ""Gotcha"" When you do, return Spell Counter from your graveyard to your hand.",{2}{U}{U},Instant,,,4,Doug Chaffee,No
Unhinged,UNH,11/20/2004,47,Topsy Turvy,Rare,"The phases of each player's turn are reversed. (The phases are, in reverse order, ending, postcombat main, combat, precombat main, and beginning.)
As long as there are more than two players in the game, the turn order is reversed.",{2}{U},Enchantment,,,3,Jeff Miracola,No
Unhinged,UNH,11/20/2004,48,Aesthetic Consultation,Rare,"Choose an artist. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with art by the chosen artist. Put that card in your hand and exile all other cards revealed this way.",{B},Instant,,,1,David “Help Me” Martin,No
Unhinged,UNH,11/20/2004,49,Bad Ass,Common,"{1}{B}, Growl: Regenerate Bad Ass.",{2}{B}{B},Creature,3½,1,4,Thomas M. Baxa,No
Unhinged,UNH,11/20/2004,50,Bloodletter,Common,"When the names of three or more nonland permanents begin with the same letter, sacrifice Bloodletter. If you do, it deals 2 damage to each creature and each player.",{2}{B},Creature,2,3,3,Daren Bader,No
Unhinged,UNH,11/20/2004,51,Booster Tutor,Uncommon,"Open a sealed Magic booster pack, reveal the cards, and put one of those cards into your hand. (Remove that card from your deck before beginning a new game.)",{B},Instant,,,1,Christopher Rush,No
Unhinged,UNH,11/20/2004,52,Duh,Common,Destroy target creature with reminder text. (Reminder text is any italicized text in parentheses that explains rules you already know.),{B},Instant,,,1,Dave Dorman,No
Unhinged,UNH,11/20/2004,53,Enter the Dungeon,Rare,"Players play a Magic subgame under the table, starting at 5 life and using their libraries as their decks. The winner searches his or her library for two cards, puts those cards into his or her hand, then shuffles his or her library.",{B}{B},Sorcery,,,2,Luca Zontini,No
Unhinged,UNH,11/20/2004,54,Eye to Eye,Uncommon,"You and target creature's controller have a staring contest. If you win, destroy that creature.",{2}{B},Instant,,,3,Michael Sutfin,No
Unhinged,UNH,11/20/2004,55,The Fallen Apart,Common,"The Fallen Apart enters the battlefield with two arms and two legs.
Whenever damage is dealt to The Fallen Apart, remove an arm or a leg from it.
The Fallen Apart can't attack if it has no legs and can't block if it has no arms.",{2}{B}{B},Creature,4,4,4,Corey D. Macourek,No
Unhinged,UNH,11/20/2004,56,Farewell to Arms,Common,"As Farewell to Arms enters the battlefield, choose a hand attached to an opponent's arm.
When the chosen hand isn't behind its owner's back, sacrifice Farewell to Arms. If you do, that player discards his or her hand . . . of cards. (The lawyers wouldn't let us do it the other way.)",{1}{B}{B},Enchantment,,,3,Ron Lemen,No
Unhinged,UNH,11/20/2004,57,Infernal Spawn of Infernal Spawn of Evil,Rare,"Flying, first strike, trample
Once each turn, while you're searching your library, you may pay {1}{B}, reveal Infernal Spawn of Infernal Spawn of Evil from your library and say ""I'm coming, too"" If you do, Infernal Spawn of Infernal Spawn of Evil deals 2 damage to a player of your choice.",{8}{B}{B},Creature,8,8,10,Ron Spencer,No
Unhinged,UNH,11/20/2004,58,Kill! Destroy!,Uncommon,"Destroy target nonblack creature.
Gotcha — If an opponent says ""kill"" or ""destroy,"" you may say ""Gotcha"" When you do, return Kill Destroy from your graveyard to your hand.",{1}{B}{B},Instant,,,3,Corey D. Macourek,No
Unhinged,UNH,11/20/2004,59,Mother of Goons,Common,"Whenever a creature an opponent controls dies, sacrifice Mother of Goons unless you insult that creature.",{2}{B},Creature,3,2,3,Darrell Riche,No
Unhinged,UNH,11/20/2004,60,Necro-Impotence,Rare,"Skip your untap step.
At the beginning of your upkeep, you may pay X life. If you do, untap X permanents.
Pay ½ life: Exile the top card of your library face down. Put that card into your hand at the beginning of the next end step.",{B}{B}{B},Enchantment,,,3,Mark Tedin,No
Unhinged,UNH,11/20/2004,61,Persecute Artist,Uncommon,Choose an artist other than Rebecca Guay. Target player reveals his or her hand and discards all nonland cards with art by the chosen artist.,{1}{B}{B},Sorcery,,,3,Rebecca “Don't Mess with Me” Guay,No
Unhinged,UNH,11/20/2004,62,Phyrexian Librarian,Uncommon,"Flying, trample
At the beginning of your upkeep, exile the top card of your library and balance it on your body.
When a balanced card falls or touches another balanced card, sacrifice Phyrexian Librarian.",{3}{B},Creature,3,3,4,Kev Walker,No
Unhinged,UNH,11/20/2004,63,Stop That,Common,"Target player discards a card.
Gotcha — If an opponent audibly flicks the cards in his or her hand, you may say ""Gotcha"" When you do, return Stop That from your graveyard to your hand.",{B},Instant,,,1,Anson Maddocks,No
Unhinged,UNH,11/20/2004,64,Tainted Monkey,Common,"{T}: Choose a word. Target player puts the top card of his or her library into his or her graveyard. If that card has the chosen word in its text box, that player loses 3 life.",{1}{B},Creature,1,1,2,Mark Zug,No
Unhinged,UNH,11/20/2004,65,Vile Bile,Common,"Whenever a player's skin or fingernail touches Vile Bile, that player loses 2 life.",{1}{B},Creature,2½,2½,2,Tony Szczudlo,No
Unhinged,UNH,11/20/2004,66,Wet Willie of the Damned,Common,Wet Willie of the Damned deals 2½ damage to target creature or player and you gain 2½ life.,{2}{B}{B},Sorcery,,,4,Greg Staples,No
Unhinged,UNH,11/20/2004,67,When Fluffy Bunnies Attack,Common,"Target creature gets -X/-X until end of turn, where X is the number of times the letter of your choice appears in that creature's name.",{3}{B},Instant,,,4,Ray Lago,No
Unhinged,UNH,11/20/2004,68,Working Stiff,Uncommon,"As Working Stiff enters the battlefield, straighten your arms.
When you bend an elbow, sacrifice Working Stiff.",{1}{B},Creature,2,2,2,Darrell Riche,No
Unhinged,UNH,11/20/2004,69,Zombie Fanboy,Uncommon,"As Zombie Fanboy enters the battlefield, choose an artist.
Whenever a permanent with art by the chosen artist is put into a graveyard, put two +1/+1 counters on Zombie Fanboy.",{2}{B},Creature,1,1,3,Matt “I'm Your Boy” Cavotta,No
Unhinged,UNH,11/20/2004,70,Zzzyxas's Abyss,Rare,"At the beginning of your upkeep, destroy all nonland permanents with the first name alphabetically among nonland permanents.",{1}{B}{B},Enchantment,,,3,Pete Venters,No
Unhinged,UNH,11/20/2004,71,Assquatch,Rare,"Each other Donkey gets +1½/+1½.
Whenever another Donkey enters the battlefield, untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.",{4}{R},Creature,3½,3½,5,Jeremy Jarvis,No
Unhinged,UNH,11/20/2004,72,Blast from the Past,Rare,"Madness {R}, cycling {1}{R}, kicker {2}{R}, flashback {3}{R}, buyback {4}{R}
Blast from the Past deals 2 damage to target creature or player. If Blast from the Past was kicked, create a 1/1 red Goblin creature token.",{2}{R},Instant,,,3,Douglas Shuler,No
Unhinged,UNH,11/20/2004,73a,Curse of the Fire Penguin,Rare,"Enchant creature
Curse of the Fire Penguin consumes and confuses enchanted creature.",{4}{R}{R},Enchantment,,,6,Matt Thompson,No
Unhinged,UNH,11/20/2004,73b,Curse of the Fire Penguin Creature,Rare,"Trample
When this creature dies, return Curse of the Fire Penguin to the battlefield.",{4}{R}{R},Creature,6,5,6,Matt Thompson,No
Unhinged,UNH,11/20/2004,74,Deal Damage,Uncommon,"Deal Damage deals 4 damage to target creature or player.
Gotcha — If an opponent says ""deal"" or ""damage,"" you may say ""Gotcha"" When you do, return Deal Damage from your graveyard to your hand.",{2}{R}{R},Instant,,,4,Scott M. Fischer,No
Unhinged,UNH,11/20/2004,75,Dumb Ass,Common,"At the beginning of your upkeep, flip a coin. If you lose the flip, target opponent chooses whether Dumb Ass attacks this turn.",{2}{R},Creature,3½,2,3,Bradley Williams,No
Unhinged,UNH,11/20/2004,76,Face to Face,Uncommon,"You and target opponent play a best two-out-of-three Rock, Paper, Scissors match. If you win, Face to Face deals 5 damage to that player.",{1}{R},Sorcery,,,2,Randy Gallegos,No
Unhinged,UNH,11/20/2004,77,Frazzled Editor,Common,Protection from wordy (Something is wordy if it has four or more lines of rules text.),{1}{R},Creature,2,2,2,Jim Pavelec,No
Unhinged,UNH,11/20/2004,78,Goblin Mime,Common,"When you speak, sacrifice Goblin Mime.",{1}{R},Creature,2,2,2,Franz Vohwinkel,No
Unhinged,UNH,11/20/2004,79,Goblin Secret Agent,Common,"First strike
At the beginning of your upkeep, reveal a card from your hand at random.",{2}{R},Creature,2,2,3,Tony Szczudlo,No
Unhinged,UNH,11/20/2004,80,Goblin S.W.A.T. Team,Common,"Say ""Goblin S.W.A.T. Team"": Put a +1/+1 counter on Goblin S.W.A.T. Team unless an opponent swats the table within five seconds. Activate this ability only once each turn.",{3}{R},Creature,2,2,4,Eric Deschamps,No
Unhinged,UNH,11/20/2004,81,Mana Flair,Common,Add {R} to your mana pool for each nonland permanent with art by the artist of your choice.,{1}{R},Instant,,,2,Paolo “That's Actually Me” Parente,No
Unhinged,UNH,11/20/2004,82,Mons's Goblin Waiters,Common,Sacrifice a creature or land: Add {hr} to your mana pool.,{R},Creature,1,1,1,Pete Venters,No
Unhinged,UNH,11/20/2004,83,Orcish Paratroopers,Common,"When Orcish Paratroopers enters the battlefield, flip it from a height of at least one foot. Sacrifice Orcish Paratroopers unless it turns over completely at least once during the flip and lands face up.",{2}{R},Creature,4,4,3,Matt Thompson,No
Unhinged,UNH,11/20/2004,84,Punctuate,Common,"Punctuate deals damage to target creature equal to half the number of punctuation marks in that creature's text box. (The punctuation marks are ? , ; : - — ( ) / "" "" ' ' & .)",{3}{R},Instant,,,4,Jim Pavelec,No
Unhinged,UNH,11/20/2004,85,Pygmy Giant,Uncommon,"{R}, {T}, Sacrifice a creature: Pygmy Giant deals X damage to target creature, where X is a number in the sacrificed creature's text box.",{1}{R}{R},Creature,0,2,3,Eric Deschamps,No
Unhinged,UNH,11/20/2004,86,Red-Hot Hottie,Common,"Whenever Red-Hot Hottie deals damage to a creature, put a third-degree-burn counter on that creature. It gains ""At the beginning of each end step, sacrifice this creature unless you scream 'Aaah' at the top of your lungs.""",{2}{R}{R},Creature,2,5,4,Jeremy Jarvis,No
Unhinged,UNH,11/20/2004,87,Rocket-Powered Turbo Slug,Uncommon,"Super haste (This may attack the turn before you cast it. (You may put this card from your hand onto the battlefield tapped and attacking during your declare attackers step. If you do, you lose the game at the beginning of your next turn's end step unless you pay this card's mana cost during that turn.))",{3}{R},Creature,3,1,4,Franz Vohwinkel,No
Unhinged,UNH,11/20/2004,88,Sauté,Common,Sauté deals 3½ damage to target creature or player.,{1}{R}{R},Instant,,,3,Jeff Miracola,No
